group,country,taxon,variable,measure,value
Fed carps,World,Bighead carp,FM,ul,7.309644323763681
Fed carps,World,Bighead carp,FO,mean,0
Fed carps,World,Bighead carp,FO,sd,0
Fed carps,World,Bighead carp,FO,ll,0
Fed carps,World,Bighead carp,FO,ul,0
Fed carps,China,Bighead carp,On_Feed,mean,49.957964338009376
Fed carps,China,Bighead carp,On_Feed,sd,3.5418844876862523
Fed carps,China,Bighead carp,On_Feed,ll,41.634857078500374
Fed carps,China,Bighead carp,On_Feed,ul,54.4508917865311
Fed carps,China,Bighead carp,FCR,mean,1.8086414814814815
Fed carps,China,Bighead carp,FCR,sd,0.034544098960057744
Fed carps,China,Bighead carp,FCR,ll,1.7610308959212602
Fed carps,China,Bighead carp,FCR,ul,1.8982588063894745
Fed carps,China,Bighead carp,FM,mean,4.280058823529412
Fed carps,China,Bighead carp,FM,sd,0.9094989617210963
Fed carps,China,Bighead carp,FM,ll,3.030676198305774
Fed carps,China,Bighead carp,FM,ul,7.38550699532602
Fed carps,China,Bighead carp,FO,mean,0
Fed carps,China,Bighead carp,FO,sd,0
Fed carps,China,Bighead carp,FO,ll,0
Fed carps,China,Bighead carp,FO,ul,0
Fed carps,World,Common carp,On_Feed,mean,50.45178874251875
Fed carps,World,Common carp,On_Feed,sd,3.3307232666586213
Fed carps,World,Common carp,On_Feed,ll,40.60823875263158
Fed carps,World,Common carp,On_Feed,ul,54.09582242962252
Fed carps,World,Common carp,FCR,mean,1.8013396296296296
Fed carps,World,Common carp,FCR,sd,0.03145859038743326
Fed carps,World,Common carp,FCR,ll,1.76745294091088
Fed carps,World,Common carp,FCR,ul,1.9070300381682275
Fed carps,World,Common carp,FM,mean,4.359176470588236
Fed carps,World,Common carp,FM,sd,0.8330735465883998
Fed carps,World,Common carp,FM,ll,3.182702721094893
Fed carps,World,Common carp,FM,ul,6.9528701323494895
Fed carps,World,Common carp,FO,mean,0
Fed carps,World,Common carp,FO,sd,0
Fed carps,World,Common carp,FO,ll,0
Fed carps,World,Common carp,FO,ul,0
Fed carps,China,Common carp,On_Feed,mean,50.84488375839062
Fed carps,China,Common carp,On_Feed,sd,3.7170739554117636
Fed carps,China,Common carp,On_Feed,ll,40.10137880761456
Fed carps,China,Common carp,On_Feed,ul,53.72854111154664
Fed carps,China,Common carp,FCR,mean,1.8079892592592592
Fed carps,China,Common carp,FCR,sd,0.034847312378948295
Fed carps,China,Common carp,FCR,ll,1.7606664624755404
Fed carps,China,Common carp,FCR,ul,1.8977990529925275
Fed carps,China,Common carp,FM,mean,4.387264705882353
Fed carps,China,Common carp,FM,sd,0.8420988699697811
Fed carps,China,Common carp,FM,ll,3.163287124253732
Fed carps,China,Common carp,FM,ul,6.883543345210612
Fed carps,China,Common carp,FO,mean,0
Fed carps,China,Common carp,FO,sd,0
Fed carps,China,Common carp,FO,ll,0
Fed carps,China,Common carp,FO,ul,0
Fed carps,World,Crucian carp,On_Feed,mean,50.47136433789687
Fed carps,World,Crucian carp,On_Feed,sd,3.3698397055437677
Fed carps,World,Crucian carp,On_Feed,ll,40.106636756139885
Fed carps,World,Crucian carp,On_Feed,ul,53.832596092725566
Fed carps,World,Crucian carp,FCR,mean,1.8030103703703704
Fed carps,World,Crucian carp,FCR,sd,0.03211447306096661
Fed carps,World,Crucian carp,FCR,ll,1.765204883289006
Fed carps,World,Crucian carp,FCR,ul,1.907253090398975
Fed carps,World,Crucian carp,FM,mean,4.360764705882353
Fed carps,World,Crucian carp,FM,sd,0.8117407066779343
